year,flower_date,flower_doy,avg_temp_march_c
1737,1737-04-03,93,9.6
1738,1738-04-11,101,7.2
1739,1739-04-20,110,4.6
1740,1740-04-24,115,3.2
1741,1741-04-19,109,4.9
1742,1742-04-19,109,4.9
1743,1743-04-18,108,5.2
1744,1744-04-07,98,8.0
1745,1745-04-15,105,6.0
1746,1746-04-20,110,4.6
1747,1747-04-11,101,7.2
1748,1748-04-05,96,8.6
1749,1749-04-10,100,7.4
1750,1750-04-20,110,4.6
1751,1751-04-13,103,6.6
1752,1752-04-19,110,4.6
1753,1753-04-06,96,8.6
1754,1754-04-25,115,3.2
1755,1755-04-30,120,2.0
1756,1756-04-18,109,4.9
1757,1757-04-22,112,4.1
1758,1758-04-11,101,7.2
1759,1759-04-19,109,4.9
1760,1760-04-12,103,6.6
1761,1761-03-30,89,10.8
1762,1762-04-16,106,5.7
1763,1763-04-22,112,4.1
1764,1764-04-07,98,8.0
1765,1765-04-16,106,5.7
1766,1766-04-23,113,3.8
1767,1767-04-11,101,7.2
1768,1768-04-26,117,2.7
1769,1769-04-15,105,6.0
1770,1770-04-15,105,6.0
1771,1771-04-14,104,6.3
1772,1772-04-15,106,5.7
1773,1773-04-10,100,7.4
1774,1774-04-20,110,4.6
1775,1775-04-09,99,7.7
1776,1776-04-17,108,5.2
1777,1777-04-14,104,6.3
1778,1778-04-21,111,4.3
1779,1779-04-06,96,8.6
1780,1780-04-18,109,4.9
1781,1781-04-01,91,10.2
1782,1782-04-19,109,4.9
1783,1783-04-13,103,6.6
1784,1784-04-14,105,6.0
1785,1785-04-18,108,5.2
1786,1786-04-16,106,5.7
1787,1787-04-15,105,6.0
1788,1788-04-18,109,4.9
1789,1789-04-16,106,5.7
1790,1790-04-29,119,2.2
1791,1791-04-09,99,7.7
1792,1792-04-10,101,7.2
1793,1793-04-16,106,5.7
1794,1794-04-14,104,6.3
1795,1795-04-23,113,3.8
1796,1796-04-12,103,6.6
1797,1797-04-07,97,8.3
1798,1798-04-20,110,4.6
1799,1799-04-13,103,6.6
1800,1800-04-13,103,6.6
1801,1801-04-15,105,6.0
1802,1802-04-06,96,8.6
1803,1803-04-20,110,4.6
1804,1804-04-13,104,6.3
1805,1805-04-03,93,9.6
1806,1806-04-24,114,3.5
1807,1807-04-26,116,3.0
1808,1808-04-07,98,8.0
1809,1809-04-17,107,5.4
1810,1810-04-10,100,7.4
1811,1811-04-20,110,4.6
1812,1812-04-29,120,2.0
1813,1813-04-17,107,5.4
1814,1814-04-23,113,3.8
1815,1815-04-21,111,4.3
1816,1816-04-12,103,6.6
1817,1817-04-20,110,4.6
1818,1818-04-16,106,5.7
1819,1819-04-16,106,5.7
1820,1820-04-04,95,8.9
1821,1821-04-19,109,4.9
1822,1822-04-12,102,6.9
1823,1823-04-16,106,5.7
1824,1824-04-17,108,5.2
1825,1825-04-24,114,3.5
1826,1826-04-19,109,4.9
1827,1827-04-10,100,7.4
1828,1828-04-22,113,3.8
1829,1829-04-22,112,4.1
1830,1830-04-15,105,6.0
1831,1831-04-24,114,3.5
1832,1832-04-22,113,3.8
1833,1833-04-17,107,5.4
1834,1834-04-21,111,4.3
1835,1835-04-22,112,4.1
1836,1836-04-21,112,4.1
1837,1837-04-21,111,4.3
1838,1838-04-19,109,4.9
1839,1839-04-30,120,2.0
1840,1840-04-14,105,6.0
1841,1841-04-17,107,5.4
1842,1842-04-06,96,8.6
1843,1843-04-16,106,5.7
1844,1844-04-15,106,5.7
1845,1845-04-12,102,6.9
1846,1846-04-08,98,8.0
1847,1847-04-17,107,5.4
1848,1848-04-11,102,6.9
1849,1849-04-10,100,7.4
1850,1850-04-19,109,4.9
1851,1851-04-12,102,6.9
1852,1852-04-22,113,3.8
1853,1853-04-12,102,6.9
1854,1854-04-12,102,6.9
1855,1855-04-11,101,7.2
1856,1856-04-20,111,4.3
1857,1857-04-18,108,5.2
1858,1858-04-14,104,6.3
1859,1859-04-20,110,4.6
1860,1860-04-22,113,3.8
1861,1861-04-10,100,7.4
1862,1862-04-27,117,2.7
1863,1863-04-28,118,2.5
1864,1864-04-14,105,6.0
1865,1865-04-07,97,8.3
1866,1866-04-12,102,6.9
1867,1867-04-11,101,7.2
1868,1868-04-13,104,6.3
1869,1869-04-15,105,6.0
1870,1870-04-09,99,7.7
1871,1871-04-14,104,6.3
1872,,,
1873,1873-04-14,104,6.3
1874,1874-04-17,107,5.4
1875,1875-04-13,103,6.6
1876,1876-04-20,111,4.3
1877,1877-04-14,104,6.3
1878,1878-04-11,101,7.2
1879,1879-04-12,102,6.9
1880,1880-04-19,110,4.6
1881,1881-04-22,112,4.7
1882,1882-04-07,97,5.5
1883,1883-04-17,107,5.6
1884,1884-04-18,109,5.7
1885,1885-04-23,113,3.7
1886,1886-04-18,108,7.1
1887,1887-04-19,109,5.3
1888,1888-04-16,107,7.5
1889,1889-04-19,109,6.6
1890,1890-04-08,98,8.6
1891,1891-04-09,99,7.8
1892,1892-04-24,115,4.7
1893,1893-04-19,109,5.0
1894,1894-04-08,98,7.5
1895,,,6.8
1896,1896-04-15,106,4.6
1897,1897-04-16,106,6.2
1898,1898-04-18,108,5.4
1899,1899-04-09,99,7.1
1900,1900-04-12,102,5.2
1901,1901-04-12,102,5.2
1902,1902-04-08,98,7.8
1903,1903-04-09,99,8.5
1904,1904-04-17,108,6.3
1905,1905-04-15,105,6.4
1906,1906-04-15,105,6.6
1907,1907-04-13,103,5.4
1908,1908-04-11,102,6.2
1909,1909-04-18,108,5.6
1910,1910-04-14,104,4.7
1911,1911-04-08,98,7.7
1912,1912-04-14,105,7.0
1913,1913-04-13,103,4.6
1914,1914-04-12,102,9.0
1915,1915-04-12,102,5.6
1916,1916-04-21,112,4.9
1917,1917-04-13,103,6.1
1918,1918-04-14,104,6.5
1919,,,7.5
1920,1920-04-13,104,7.2
1921,,,5.3
1922,1922-04-11,101,5.8
1923,1923-04-07,97,8.1
1924,1924-04-20,111,4.0
1925,1925-04-18,108,5.3
1926,1926-04-18,108,5.4
